כמה ימי בריאה היו? | שישה (והשביעי שבת)
מי היה האדם הראשון? | אדם הראשון
באיזו תיבה ניצל נח? | תיבת נח
כמה בנים היו לנח? | שלושה
מי היה אבי האומה? | אברהם אבינו
איך קראו לאשתו של אברהם? | שרה
מי נעקד על גבי המזבח? | יצחק
כמה שנים חי משה רבנו? | 120
מי הוציא את בני ישראל ממצרים? | משה רבנו
כמה מכות קיבלו המצרים? | עשר
איזה ים נקרע לבני ישראל? | ים סוף
כמה שבטים יש בעם ישראל? | שנים עשר
מה ירד לבני ישראל מהשמיים במדבר? | מן
על איזה הר ניתנה התורה? | הר סיני
כמה דיברות יש? | עשרה
כמה שנים הלכו בני ישראל במדבר? | ארבעים
מי הכניס את בני ישראל לארץ? | יהושע בן נון
איזו עיר הוקפה שבע פעמים ונפלה חומתה? | יריחו
מי היה המלך הראשון של ישראל? | שאול
מי ניצח את גוליית? | דוד המלך
מי בנה את בית המקדש הראשון? | שלמה המלך
מי היה החכם מכל אדם? | שלמה המלך
כמה ספרים יש בחמישה חומשי תורה? | חמישה
מהו החג שבו יושבים בסוכה? | סוכות
כמה ימים נמשך חג החנוכה? | שמונה
מה אוכלים בפסח במקום לחם? | מצה
באיזה חג קוראים את המגילה? | פורים
איך קוראים לתגלית של השמן בחנוכה? | פך השמן
מי הייתה המלכה שהצילה את היהודים בפורים? | אסתר המלכה
מי היה הרשע במגילת אסתר? | המן
באיזה יום בשבוע נכנסת שבת? | יום שישי
כמה נרות מדליקים בליל שבת לפחות? | שניים
מה מברכים על היין בשבת? | קידוש
איזה צום חל ביום העשירי בחודש תשרי? | יום כיפור
באיזה חודש חל פסח? | ניסן
מהי בירת ישראל? | ירושלים
איזה ים הוא המלוח בעולם? | ים המלח
מהו הנהר הארוך בישראל? | הירדן
באיזו עיר נמצא הכותל המערבי? | ירושלים
איזו עיר נקראת "עיר האבות"? | חברון
מהי העיר הגבוהה ביותר בישראל? | צפת
איזה הר הוא הגבוה בישראל? | החרמון
איזה מדבר נמצא בדרום הארץ? | הנגב
מהי בירת צרפת? | פריז
מהי בירת אנגליה? | לונדון
מהי בירת רוסיה? | מוסקבה
מהי בירת ארצות הברית? | וושינגטון
באיזו יבשת נמצאת מצרים? | אפריקה
מהי היבשת הגדולה בעולם? | אסיה
איזה אוקיינוס הוא הגדול בעולם? | האוקיינוס השקט
מהו ההר הגבוה בעולם? | אוורסט
מהו הנהר הארוך בעולם? | הנילוס (ויש אומרים האמזונס)
איזו מדינה היא הגדולה בעולם בשטחה? | רוסיה
באיזו מדינה יש הכי הרבה תושבים? | הודו (עקפה את סין)
איזו תעלה מחברת את הים התיכון לים סוף? | תעלת סואץ
כמה רגליים יש לעכביש? | שמונה
כמה רגליים יש לחרק? | שש
איזו חיה נקראת "מלך החיות"? | האריה
מהי החיה הגבוהה בעולם? | הג'ירפה
מהו היונק הגדול בעולם? | הלווייתן הכחול
איזו חיה ידועה בזיכרון המצוין שלה? | הפיל
איזו ציפור לא יודעת לעוף אבל רצה מהר מאוד? | היען
איזה בעל חיים נושא את ביתו על גבו? | הצב (או החילזון)
מה מייצרות הדבורים? | דבש
כמה תאים יש בכוורת לדבורת המלכה? | אחד
איזו חיה משנה את צבעה לפי הסביבה? | הזיקית
איזה בעל חיים ישן בעמידה? | הסוס
ממה מייצרים צמר? | מגיזת כבשים
איזה פרי נקרא "תפוח זהב"? | תפוז
מאיזה פרי מכינים יין? | ענבים
מהם שבעת המינים שנשתבחה בהם ארץ ישראל? | חיטה שעורה גפן תאנה רימון זית ותמר
איזה ירק גורם לדמעות בחיתוך? | בצל
מאיזה עץ מפיקים שמן זית? | עץ הזית
איזה פרי מלא גרעינים אדומים ונאכל בראש השנה? | רימון
כמה צבעים יש בקשת? | שבעה
איזה צבע מתקבל מערבוב כחול וצהוב? | ירוק
איזה צבע מתקבל מערבוב אדום ולבן? | ורוד
מהו הכוכב הקרוב ביותר לכדור הארץ? | השמש
כמה כוכבי לכת יש במערכת השמש? | שמונה
איזה כוכב לכת נקרא "הכוכב האדום"? | מאדים
מה מקיף את כדור הארץ פעם בחודש? | הירח
