מה הולך ונשאר במקום? | שעון (וגם דרך)
יש לו עיניים ואינו רואה — מה זה? | תפוח אדמה (או מחט)
יש לו שיניים ואינו נושך — מה זה? | מסרק
מה שייך לך אבל אחרים משתמשים בו יותר ממך? | השם שלך
ככל שלוקחים ממנו יותר הוא גדל — מה זה? | בור
מה עולה ואף פעם לא יורד? | הגיל
יש לו צוואר ואין לו ראש — מה זה? | בקבוק
מה נשבר ברגע שאומרים את שמו? | שקט
איזו מילה בעברית נכתבת תמיד לא נכון? | המילה "לא נכון"
יש לו רגליים ואינו הולך — מה זה? | שולחן
מה מלא חורים ובכל זאת מחזיק מים? | ספוג
מה רואים פעם בדקה, פעמיים ברגע, ואף פעם לא בשעה? | האות מ'
כמה פעמים אפשר להחסיר 5 מ-25? | פעם אחת (אחר כך זה כבר 20)
לאב של יוסי יש חמישה בנים: אא, בב, גג, דד — מה שם החמישי? | יוסי
מה כבד יותר: קילו נוצות או קילו ברזל? | שווים — קילו זה קילו
כמה אדמה יש בבור בגודל מטר על מטר? | אין אדמה בבור — הוא ריק
איזו שאלה אי אפשר לענות עליה "כן" באמת? | "אתה ישן?"
מי הולך לישון עם הנעליים? | הסוס (הפרסות)
מה נמצא בדיוק באמצע "ירושלים"? | האות ש'
ההפך מ"לא הפוך" הוא...? | הפוך
מה אפשר לתפוס אבל אי אפשר לזרוק? | הצטננות
איפה יום שישי בא לפני יום חמישי? | במילון
מה גדל כלפי מטה? | נטיף קרח (או שורש)
מה עובר דרך ערים ושדות אבל אף פעם לא זז? | כביש
